N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
179,KG동부제철,"11,250",600,+5.63%,"5,000","11,251","100,009",0.20,"292,418",13.65,-7.44,
180,더블유게임즈,"60,600",800,+1.34%,500,"11,135","18,375",14.81,"75,453",10.39,18.93,
181,한국콜마,"47,750","1,150",+2.47%,500,"10,926","22,881",26.09,"228,476",34.35,6.39,
182,금호타이어,"3,785",80,+2.16%,"5,000","10,873","287,260",4.25,"423,517",-10.85,-3.30,
183,코오롱인더,"40,050",550,+1.39%,"5,000","10,805","26,979",15.40,"143,067",7.17,1.58,
184,후성,"11,500",550,+5.02%,500,"10,650","92,607",4.68,"23,235,155",-209.09,3.85,
185,휴켐스,"25,650","1,150",+4.69%,"1,000","10,485","40,879",8.61,"974,216",21.76,10.82,
186,파미셀,"17,150",400,+2.39%,500,"10,283","59,959",7.67,"2,116,627",149.13,8.78,
187,코리안리,"8,530",240,-2.74%,500,"10,267","120,369",28.57,"624,629",6.87,8.04,
188,롯데관광개발,"14,800",50,+0.34%,500,"10,253","69,276",5.13,"445,533",-21.73,-4.77,
189,유나이티드제약,"62,300","2,500",-3.86%,500,"10,121","16,245",4.68,"4,287,266",33.64,12.79,
190,GKL,"16,300",350,+2.19%,500,"10,082","61,856",5.92,"336,435",-75.81,12.62,
191,현대홈쇼핑,"83,600","2,300",+2.83%,"5,000","10,032","12,000",27.18,"22,761",11.16,5.03,
192,롯데칠성,"111,500",0,0.00%,500,"10,007","8,975",11.03,"27,953",-11.43,-11.68,
193,다우기술,"22,050",400,+1.85%,500,"9,893","44,867",22.47,"204,765",3.55,14.62,
194,영풍,"536,000","3,000",-0.56%,"5,000","9,873","1,842",4.67,"1,949",5.33,7.40,
195,TIGER 단기통안채,"100,795",0,0.00%,0,"9,866","9,788",7.44,"3,623",N/A,N/A,
196,코스맥스,"97,700",900,+0.93%,500,"9,818","10,050",24.61,"38,952",24.18,10.45,
197,SK가스,"105,500",500,-0.47%,"5,000","9,738","9,230",8.94,"21,301",2.47,9.85,
198,KODEX 인버스,"4,450",95,-2.09%,0,"9,710","218,200",1.26,"45,140,698",N/A,N/A,
199,진원생명과학,"21,600","1,100",+5.37%,"1,000","9,671","44,771",11.53,"22,282,808",-62.61,-28.50,
200,보령제약,"19,750",100,-0.50%,500,"9,405","47,620",8.00,"532,532",32.38,11.96,
